date,player_team,player,team,goals,rank
2024-09-29,sonheungmin_tottenham,Son Heung-min,Tottenham,2.0,18.0
2024-09-29,antoinesemenyo_bournemouth,Antoine Semenyo,Bournemouth,2.0,19.0
2024-09-29,dominiccalvertlewin_everton,Dominic Calvert-Lewin,Everton,2.0,20.0
2024-09-29,emilesmithrowe_fulham,Emile Smith Rowe,Fulham,2.0,21.0
2024-09-29,amadouonana_astonvilla,Amadou Onana,Aston Villa,2.0,22.0
2024-09-29,anthonygordon_newcastleutd,Anthony Gordon,Newcastle Utd,2.0,23.0
2024-09-29,brennanjohnson_tottenham,Brennan Johnson,Tottenham,2.0,24.0
2024-09-29,dominicsolanke_tottenham,Dominic Solanke,Tottenham,2.0,25.0
2024-09-29,gabrielmagalhaes_arsenal,Gabriel Magalhaes,Arsenal,2.0,26.0
2024-09-29,jamesjustin_leicestercity,James Justin,Leicester City,2.0,27.0
2024-09-29,jamievardy_leicestercity,Jamie Vardy,Leicester City,2.0,28.0
2024-09-29,jeanphilippemateta_crystalpalace,Jean-Philippe Mateta,Crystal Palace,2.0,29.0
2024-09-29,joaopedro_brighton,Joao Pedro,Brighton,2.0,30.0
2024-09-29,leandrotrossard_arsenal,Leandro Trossard,Arsenal,2.0,31.0
2024-09-29,matheuscunha_wolves,Matheus Cunha,Wolves,2.0,32.0
2024-09-29,stephymavididi_leicestercity,Stephy Mavididi,Leicester City,2.0,33.0
2024-09-29,bukayosaka_arsenal,Bukayo Saka,Arsenal,1.0,35.0
2024-09-29,adamatraore_fulham,Adama Traore,Fulham,1.0,36.0
2024-09-29,diogojota_liverpool,Diogo Jota,Liverpool,1.0,37.0
2024-09-29,facundobuonanotte_leicestercity,Facundo Buonanotte,Leicester City,1.0,38.0
2024-09-29,gabrielmartinelli_arsenal,Gabriel Martinelli,Arsenal,1.0,39.0
2024-09-29,jamesmaddison_tottenham,James Maddison,Tottenham,1.0,40.0
2024-09-29,morganrogers_astonvilla,Morgan Rogers,Aston Villa,1.0,41.0
2024-09-29,alejandrogarnacho_manchesterutd,Alejandro Garnacho,Manchester Utd,1.0,42.0
2024-09-29,alexiwobi_fulham,Alex Iwobi,Fulham,1.0,43.0
2024-09-29,alexanderisak_newcastleutd,Alexander Isak,Newcastle Utd,1.0,44.0
2024-09-29,amaddiallo_manchesterutd,Amad Diallo,Manchester Utd,1.0,45.0
2024-09-29,carlosbaleba_brighton,Carlos Baleba,Brighton,1.0,46.0
2024-09-29,dejankulusevski_tottenham,Dejan Kulusevski,Tottenham,1.0,47.0
2024-09-29,jarrodbowen_westham,Jarrod Bowen,West Ham,1.0,49.0
2024-09-29,jorgenstrandlarsen_wolves,Jorgen Strand Larsen,Wolves,1.0,50.0
2024-09-29,kaorumitoma_brighton,Kaoru Mitoma,Brighton,1.0,51.0
2024-09-29,kevindebruyne_manchestercity,Kevin De Bruyne,Manchester City,1.0,52.0
2024-09-29,luissinisterra_bournemouth,Luis Sinisterra,Bournemouth,1.0,53.0
2024-09-29,rayanaitnouri_wolves,Rayan Ait-Nouri,Wolves,1.0,55.0
2024-09-29,simonadingra_brighton,Simon Adingra,Brighton,1.0,56.0
2024-09-29,callumhudsonodoi_notthamforest,Callum Hudson-Odoi,Nott'ham Forest,1.0,57.0
2024-09-29,cristianromero_tottenham,Cristian Romero,Tottenham,1.0,59.0
2024-09-29,joaofelix_chelsea,Joao Felix,Chelsea,1.0,69.0
2024-09-29,joelinton_newcastleutd,Joelinton,Newcastle Utd,1.0,70.0
2024-09-29,joshuazirkzee_manchesterutd,Joshua Zirkzee,Manchester Utd,1.0,72.0
2024-09-29,lucaspaqueta_westham,Lucas Paqueta,West Ham,1.0,75.0
2024-09-29,marcusrashford_manchesterutd,Marcus Rashford,Manchester Utd,1.0,77.0
2024-09-29,mateokovacic_manchestercity,Mateo Kovacic,Manchester City,1.0,79.0
2024-09-29,morgangibbswhite_notthamforest,Morgan Gibbs-White,Nott'ham Forest,1.0,82.0
2024-09-29,pedroporro_tottenham,Pedro Porro,Tottenham,1.0,83.0
2024-09-29,ashleyyoung_everton,Ashley Young,Everton,0.0,95.0
2024-09-29,bernardosilva_manchestercity,Bernardo Silva,Manchester City,0.0,96.0
2024-09-29,anthonyelanga_notthamforest,Anthony Elanga,Nott'ham Forest,0.0,99.0
2024-09-29,brunofernandes_manchesterutd,Bruno Fernandes,Manchester Utd,0.0,100.0
2024-09-29,brunoguimaraes_newcastleutd,Bruno Guimaraes,Newcastle Utd,0.0,101.0
2024-09-29,justinkluivert_bournemouth,Justin Kluivert,Bournemouth,0.0,106.0
2024-09-29,matswieffer_brighton,Mats Wieffer,Brighton,0.0,108.0
2024-09-29,yankubaminteh_brighton,Yankuba Minteh,Brighton,0.0,119.0
2024-09-29,aaronwanbissaka_westham,Aaron Wan-Bissaka,West Ham,0.0,120.0
2024-09-29,adamarmstrong_southampton,Adam Armstrong,Southampton,0.0,121.0
2024-09-29,alexismacallister_liverpool,Alexis Mac Allister,Liverpool,0.0,122.0
2024-09-29,andreaspereira_fulham,Andreas Pereira,Fulham,0.0,123.0
2024-09-29,axeldisasi_chelsea,Axel Disasi,Chelsea,0.0,124.0
2024-09-29,beto_everton,Beto,Everton,0.0,125.0
2024-09-29,bilalelkhannouss_leicestercity,Bilal El Khannouss,Leicester City,0.0,126.0
2024-09-29,bobbyreid_leicestercity,Bobby Reid,Leicester City,0.0,127.0
2024-09-29,cameronarcher_southampton,Cameron Archer,Southampton,0.0,128.0
2024-09-29,casemiro_manchesterutd,Casemiro,Manchester Utd,0.0,129.0
2024-09-29,evanilson_bournemouth,Evanilson,Bournemouth,0.0,145.0
2024-09-30,erlinghaaland_manchestercity,Erling Haaland,Manchester City,10.0,1.0
2024-09-30,colepalmer_chelsea,Cole Palmer,Chelsea,6.0,2.0
2024-09-30,luisdiaz_liverpool,Luis Diaz,Liverpool,5.0,3.0
2024-09-30,bryanmbeumo_brentford,Bryan Mbeumo,Brentford,5.0,4.0
2024-09-30,mohamedsalah_liverpool,Mohamed Salah,Liverpool,4.0,5.0
2024-09-30,nicolasjackson_chelsea,Nicolas Jackson,Chelsea,4.0,6.0
2024-09-30,olliewatkins_astonvilla,Ollie Watkins,Aston Villa,4.0,7.0
2024-09-30,jhonduran_astonvilla,Jhon Duran,Aston Villa,4.0,8.0
2024-09-30,dwightmcneil_everton,Dwight McNeil,Everton,3.0,9.0
2024-09-30,antoinesemenyo_bournemouth,Antoine Semenyo,Bournemouth,3.0,10.0
2024-09-30,dannywelbeck_brighton,Danny Welbeck,Brighton,3.0,11.0
2024-09-30,harveybarnes_newcastleutd,Harvey Barnes,Newcastle Utd,3.0,12.0
2024-09-30,kaihavertz_arsenal,Kai Havertz,Arsenal,3.0,13.0
2024-09-30,yoanewissa_brentford,Yoane Wissa,Brentford,3.0,14.0
2024-09-30,chriswood_notthamforest,Chris Wood,Nott'ham Forest,3.0,15.0
2024-09-30,liamdelap_ipswichtown,Liam Delap,Ipswich Town,3.0,16.0
2024-09-30,nonimadueke_chelsea,Noni Madueke,Chelsea,3.0,17.0
2024-09-30,rauljimenez_fulham,Raul Jimenez,Fulham,3.0,18.0
2024-09-30,sonheungmin_tottenham,Son Heung-min,Tottenham,2.0,19.0
2024-09-30,dominiccalvertlewin_everton,Dominic Calvert-Lewin,Everton,2.0,20.0
2024-09-30,emilesmithrowe_fulham,Emile Smith Rowe,Fulham,2.0,21.0
2024-09-30,amadouonana_astonvilla,Amadou Onana,Aston Villa,2.0,22.0
2024-09-30,anthonygordon_newcastleutd,Anthony Gordon,Newcastle Utd,2.0,23.0
2024-09-30,brennanjohnson_tottenham,Brennan Johnson,Tottenham,2.0,24.0
2024-09-30,dominicsolanke_tottenham,Dominic Solanke,Tottenham,2.0,25.0
2024-09-30,gabrielmagalhaes_arsenal,Gabriel Magalhaes,Arsenal,2.0,26.0
2024-09-30,jamesjustin_leicestercity,James Justin,Leicester City,2.0,27.0
2024-09-30,jamievardy_leicestercity,Jamie Vardy,Leicester City,2.0,28.0
2024-09-30,jeanphilippemateta_crystalpalace,Jean-Philippe Mateta,Crystal Palace,2.0,29.0
2024-09-30,joaopedro_brighton,Joao Pedro,Brighton,2.0,30.0
2024-09-30,leandrotrossard_arsenal,Leandro Trossard,Arsenal,2.0,31.0
2024-09-30,matheuscunha_wolves,Matheus Cunha,Wolves,2.0,32.0
2024-09-30,stephymavididi_leicestercity,Stephy Mavididi,Leicester City,2.0,33.0
2024-09-30,bukayosaka_arsenal,Bukayo Saka,Arsenal,1.0,35.0
2024-09-30,adamatraore_fulham,Adama Traore,Fulham,1.0,36.0
2024-09-30,diogojota_liverpool,Diogo Jota,Liverpool,1.0,37.0
2024-09-30,facundobuonanotte_leicestercity,Facundo Buonanotte,Leicester City,1.0,38.0
2024-09-30,gabrielmartinelli_arsenal,Gabriel Martinelli,Arsenal,1.0,39.0
2024-09-30,jamesmaddison_tottenham,James Maddison,Tottenham,1.0,40.0
2024-09-30,morganrogers_astonvilla,Morgan Rogers,Aston Villa,1.0,42.0
2024-09-30,alejandrogarnacho_manchesterutd,Alejandro Garnacho,Manchester Utd,1.0,43.0
2024-09-30,alexiwobi_fulham,Alex Iwobi,Fulham,1.0,44.0
2024-09-30,alexanderisak_newcastleutd,Alexander Isak,Newcastle Utd,1.0,45.0
2024-09-30,amaddiallo_manchesterutd,Amad Diallo,Manchester Utd,1.0,46.0
2024-09-30,carlosbaleba_brighton,Carlos Baleba,Brighton,1.0,47.0
2024-09-30,dejankulusevski_tottenham,Dejan Kulusevski,Tottenham,1.0,49.0
2024-09-30,jarrodbowen_westham,Jarrod Bowen,West Ham,1.0,51.0
2024-09-30,jorgenstrandlarsen_wolves,Jorgen Strand Larsen,Wolves,1.0,52.0
2024-09-30,kaorumitoma_brighton,Kaoru Mitoma,Brighton,1.0,53.0
2024-09-30,kevindebruyne_manchestercity,Kevin De Bruyne,Manchester City,1.0,54.0
2024-09-30,luissinisterra_bournemouth,Luis Sinisterra,Bournemouth,1.0,55.0
2024-09-30,rayanaitnouri_wolves,Rayan Ait-Nouri,Wolves,1.0,58.0
2024-09-30,simonadingra_brighton,Simon Adingra,Brighton,1.0,59.0
2024-09-30,callumhudsonodoi_notthamforest,Callum Hudson-Odoi,Nott'ham Forest,1.0,60.0
2024-09-30,cristianromero_tottenham,Cristian Romero,Tottenham,1.0,62.0
2024-09-30,evanilson_bournemouth,Evanilson,Bournemouth,1.0,66.0
2024-09-30,joaofelix_chelsea,Joao Felix,Chelsea,1.0,73.0
2024-09-30,joelinton_newcastleutd,Joelinton,Newcastle Utd,1.0,74.0
2024-09-30,joshuazirkzee_manchesterutd,Joshua Zirkzee,Manchester Utd,1.0,76.0
2024-09-30,lucaspaqueta_westham,Lucas Paqueta,West Ham,1.0,78.0
2024-09-30,marcusrashford_manchesterutd,Marcus Rashford,Manchester Utd,1.0,80.0
2024-09-30,mateokovacic_manchestercity,Mateo Kovacic,Manchester City,1.0,81.0
2024-09-30,morgangibbswhite_notthamforest,Morgan Gibbs-White,Nott'ham Forest,1.0,84.0
2024-09-30,pedroporro_tottenham,Pedro Porro,Tottenham,1.0,85.0
2024-09-30,ashleyyoung_everton,Ashley Young,Everton,0.0,98.0
2024-09-30,bernardosilva_manchestercity,Bernardo Silva,Manchester City,0.0,99.0
2024-09-30,anthonyelanga_notthamforest,Anthony Elanga,Nott'ham Forest,0.0,102.0
2024-09-30,brunofernandes_manchesterutd,Bruno Fernandes,Manchester Utd,0.0,103.0
2024-09-30,brunoguimaraes_newcastleutd,Bruno Guimaraes,Newcastle Utd,0.0,104.0
2024-09-30,justinkluivert_bournemouth,Justin Kluivert,Bournemouth,0.0,108.0
2024-09-30,matswieffer_brighton,Mats Wieffer,Brighton,0.0,110.0
2024-09-30,yankubaminteh_brighton,Yankuba Minteh,Brighton,0.0,121.0
2024-09-30,aaronwanbissaka_westham,Aaron Wan-Bissaka,West Ham,0.0,122.0
2024-09-30,adamarmstrong_southampton,Adam Armstrong,Southampton,0.0,123.0
2024-09-30,alexismacallister_liverpool,Alexis Mac Allister,Liverpool,0.0,124.0
2024-09-30,andreaspereira_fulham,Andreas Pereira,Fulham,0.0,125.0
2024-09-30,axeldisasi_chelsea,Axel Disasi,Chelsea,0.0,126.0
2024-09-30,beto_everton,Beto,Everton,0.0,127.0
2024-09-30,bilalelkhannouss_leicestercity,Bilal El Khannouss,Leicester City,0.0,128.0
2024-09-30,bobbyreid_leicestercity,Bobby Reid,Leicester City,0.0,129.0
2024-09-30,cameronarcher_southampton,Cameron Archer,Southampton,0.0,130.0
2024-09-30,casemiro_manchesterutd,Casemiro,Manchester Utd,0.0,131.0
2024-10-05,erlinghaaland_manchestercity,Erling Haaland,Manchester City,10.0,1.0
2024-10-05,colepalmer_chelsea,Cole Palmer,Chelsea,6.0,2.0
2024-10-05,bryanmbeumo_brentford,Bryan Mbeumo,Brentford,6.0,3.0
2024-10-05,luisdiaz_liverpool,Luis Diaz,Liverpool,5.0,4.0
2024-10-05,mohamedsalah_liverpool,Mohamed Salah,Liverpool,4.0,5.0
2024-10-05,nicolasjackson_chelsea,Nicolas Jackson,Chelsea,4.0,6.0
2024-10-05,olliewatkins_astonvilla,Ollie Watkins,Aston Villa,4.0,7.0
2024-10-05,kaihavertz_arsenal,Kai Havertz,Arsenal,4.0,8.0
2024-10-05,jhonduran_astonvilla,Jhon Duran,Aston Villa,4.0,9.0
2024-10-05,liamdelap_ipswichtown,Liam Delap,Ipswich Town,4.0,10.0
2024-10-05,dwightmcneil_everton,Dwight McNeil,Everton,3.0,11.0
2024-10-05,antoinesemenyo_bournemouth,Antoine Semenyo,Bournemouth,3.0,12.0
2024-10-05,dannywelbeck_brighton,Danny Welbeck,Brighton,3.0,13.0
2024-10-05,harveybarnes_newcastleutd,Harvey Barnes,Newcastle Utd,3.0,14.0
2024-10-05,rauljimenez_fulham,Raul Jimenez,Fulham,3.0,15.0
2024-10-05,yoanewissa_brentford,Yoane Wissa,Brentford,3.0,16.0
2024-10-05,chriswood_notthamforest,Chris Wood,Nott'ham Forest,3.0,17.0
2024-10-05,mateokovacic_manchestercity,Mateo Kovacic,Manchester City,3.0,18.0
2024-10-05,matheuscunha_wolves,Matheus Cunha,Wolves,3.0,19.0
2024-10-05,nonimadueke_chelsea,Noni Madueke,Chelsea,3.0,20.0
2024-10-05,bukayosaka_arsenal,Bukayo Saka,Arsenal,2.0,21.0
2024-10-05,diogojota_liverpool,Diogo Jota,Liverpool,2.0,22.0
2024-10-05,facundobuonanotte_leicestercity,Facundo Buonanotte,Leicester City,2.0,23.0
2024-10-05,gabrielmartinelli_arsenal,Gabriel Martinelli,Arsenal,2.0,24.0
2024-10-05,jarrodbowen_westham,Jarrod Bowen,West Ham,2.0,25.0
2024-10-05,rayanaitnouri_wolves,Rayan Ait-Nouri,Wolves,2.0,26.0
2024-10-05,sonheungmin_tottenham,Son Heung-min,Tottenham,2.0,27.0
2024-10-05,dominiccalvertlewin_everton,Dominic Calvert-Lewin,Everton,2.0,28.0
2024-10-05,emilesmithrowe_fulham,Emile Smith Rowe,Fulham,2.0,29.0
2024-10-05,jamesjustin_leicestercity,James Justin,Leicester City,2.0,30.0
2024-10-05,jorgenstrandlarsen_wolves,Jorgen Strand Larsen,Wolves,2.0,31.0
2024-10-05,amadouonana_astonvilla,Amadou Onana,Aston Villa,2.0,32.0
2024-10-05,anthonygordon_newcastleutd,Anthony Gordon,Newcastle Utd,2.0,33.0
2024-10-05,brennanjohnson_tottenham,Brennan Johnson,Tottenham,2.0,34.0
2024-10-05,dominicsolanke_tottenham,Dominic Solanke,Tottenham,2.0,35.0
2024-10-05,gabrielmagalhaes_arsenal,Gabriel Magalhaes,Arsenal,2.0,36.0
2024-10-05,jamievardy_leicestercity,Jamie Vardy,Leicester City,2.0,37.0
2024-10-05,jeanphilippemateta_crystalpalace,Jean-Philippe Mateta,Crystal Palace,2.0,38.0
2024-10-05,joaopedro_brighton,Joao Pedro,Brighton,2.0,39.0
2024-10-05,leandrotrossard_arsenal,Leandro Trossard,Arsenal,2.0,40.0
2024-10-05,lucaspaqueta_westham,Lucas Paqueta,West Ham,2.0,41.0
2024-10-05,stephymavididi_leicestercity,Stephy Mavididi,Leicester City,2.0,42.0
2024-10-05,adamatraore_fulham,Adama Traore,Fulham,1.0,44.0
2024-10-05,jamesmaddison_tottenham,James Maddison,Tottenham,1.0,45.0
2024-10-05,morganrogers_astonvilla,Morgan Rogers,Aston Villa,1.0,47.0
2024-10-05,alejandrogarnacho_manchesterutd,Alejandro Garnacho,Manchester Utd,1.0,48.0
2024-10-05,alexiwobi_fulham,Alex Iwobi,Fulham,1.0,49.0
2024-10-05,alexanderisak_newcastleutd,Alexander Isak,Newcastle Utd,1.0,50.0
2024-10-05,amaddiallo_manchesterutd,Amad Diallo,Manchester Utd,1.0,51.0
2024-10-05,carlosbaleba_brighton,Carlos Baleba,Brighton,1.0,52.0
2024-10-05,dejankulusevski_tottenham,Dejan Kulusevski,Tottenham,1.0,54.0
2024-10-05,kaorumitoma_brighton,Kaoru Mitoma,Brighton,1.0,58.0
2024-10-05,kevindebruyne_manchestercity,Kevin De Bruyne,Manchester City,1.0,59.0
2024-10-05,luissinisterra_bournemouth,Luis Sinisterra,Bournemouth,1.0,60.0
2024-10-05,simonadingra_brighton,Simon Adingra,Brighton,1.0,66.0
2024-10-05,andreaspereira_fulham,Andreas Pereira,Fulham,1.0,67.0
2024-10-05,callumhudsonodoi_notthamforest,Callum Hudson-Odoi,Nott'ham Forest,1.0,68.0
2024-10-05,cameronarcher_southampton,Cameron Archer,Southampton,1.0,69.0
2024-10-05,cristianromero_tottenham,Cristian Romero,Tottenham,1.0,72.0
2024-10-05,evanilson_bournemouth,Evanilson,Bournemouth,1.0,77.0
2024-10-05,joaofelix_chelsea,Joao Felix,Chelsea,1.0,84.0
2024-10-05,joelinton_newcastleutd,Joelinton,Newcastle Utd,1.0,85.0
2024-10-05,joshuazirkzee_manchesterutd,Joshua Zirkzee,Manchester Utd,1.0,87.0
2024-10-05,marcusrashford_manchesterutd,Marcus Rashford,Manchester Utd,1.0,90.0
2024-10-05,morgangibbswhite_notthamforest,Morgan Gibbs-White,Nott'ham Forest,1.0,94.0
2024-10-05,pedroporro_tottenham,Pedro Porro,Tottenham,1.0,96.0
2024-10-05,bernardosilva_manchestercity,Bernardo Silva,Manchester City,0.0,107.0
2024-10-05,ashleyyoung_everton,Ashley Young,Everton,0.0,109.0
2024-10-05,anthonyelanga_notthamforest,Anthony Elanga,Nott'ham Forest,0.0,114.0
2024-10-05,brunofernandes_manchesterutd,Bruno Fernandes,Manchester Utd,0.0,115.0
2024-10-05,brunoguimaraes_newcastleutd,Bruno Guimaraes,Newcastle Utd,0.0,116.0
2024-10-05,justinkluivert_bournemouth,Justin Kluivert,Bournemouth,0.0,120.0
2024-10-05,matswieffer_brighton,Mats Wieffer,Brighton,0.0,123.0
2024-10-05,yankubaminteh_brighton,Yankuba Minteh,Brighton,0.0,132.0
2024-10-05,aaronwanbissaka_westham,Aaron Wan-Bissaka,West Ham,0.0,133.0
2024-10-05,adamarmstrong_southampton,Adam Armstrong,Southampton,0.0,134.0
2024-10-05,alexismacallister_liverpool,Alexis Mac Allister,Liverpool,0.0,135.0
2024-10-05,axeldisasi_chelsea,Axel Disasi,Chelsea,0.0,136.0
2024-10-05,beto_everton,Beto,Everton,0.0,137.0
2024-10-05,bilalelkhannouss_leicestercity,Bilal El Khannouss,Leicester City,0.0,138.0
2024-10-05,bobbyreid_leicestercity,Bobby Reid,Leicester City,0.0,139.0
2024-10-05,casemiro_manchesterutd,Casemiro,Manchester Utd,0.0,140.0
2024-10-06,erlinghaaland_manchestercity,Erling Haaland,Manchester City,10.0,1.0
2024-10-06,colepalmer_chelsea,Cole Palmer,Chelsea,6.0,2.0
2024-10-06,bryanmbeumo_brentford,Bryan Mbeumo,Brentford,6.0,3.0
2024-10-06,luisdiaz_liverpool,Luis Diaz,Liverpool,5.0,4.0
2024-10-06,mohamedsalah_liverpool,Mohamed Salah,Liverpool,4.0,5.0
2024-10-06,nicolasjackson_chelsea,Nicolas Jackson,Chelsea,4.0,6.0
2024-10-06,olliewatkins_astonvilla,Ollie Watkins,Aston Villa,4.0,7.0
2024-10-06,dannywelbeck_brighton,Danny Welbeck,Brighton,4.0,8.0
2024-10-06,kaihavertz_arsenal,Kai Havertz,Arsenal,4.0,9.0
2024-10-06,chriswood_notthamforest,Chris Wood,Nott'ham Forest,4.0,10.0
2024-10-06,jhonduran_astonvilla,Jhon Duran,Aston Villa,4.0,11.0
2024-10-06,liamdelap_ipswichtown,Liam Delap,Ipswich Town,4.0,12.0
2024-10-06,nonimadueke_chelsea,Noni Madueke,Chelsea,4.0,13.0
2024-10-06,dwightmcneil_everton,Dwight McNeil,Everton,3.0,14.0
2024-10-06,antoinesemenyo_bournemouth,Antoine Semenyo,Bournemouth,3.0,15.0
2024-10-06,harveybarnes_newcastleutd,Harvey Barnes,Newcastle Utd,3.0,16.0
2024-10-06,rauljimenez_fulham,Raul Jimenez,Fulham,3.0,17.0
2024-10-06,yoanewissa_brentford,Yoane Wissa,Brentford,3.0,18.0
2024-10-06,brennanjohnson_tottenham,Brennan Johnson,Tottenham,3.0,19.0
2024-10-06,mateokovacic_manchestercity,Mateo Kovacic,Manchester City,3.0,20.0
2024-10-06,matheuscunha_wolves,Matheus Cunha,Wolves,3.0,21.0
2024-10-06,bukayosaka_arsenal,Bukayo Saka,Arsenal,2.0,22.0
2024-10-06,diogojota_liverpool,Diogo Jota,Liverpool,2.0,23.0
2024-10-06,facundobuonanotte_leicestercity,Facundo Buonanotte,Leicester City,2.0,24.0
2024-10-06,gabrielmartinelli_arsenal,Gabriel Martinelli,Arsenal,2.0,25.0
2024-10-06,jamesmaddison_tottenham,James Maddison,Tottenham,2.0,26.0
2024-10-06,jarrodbowen_westham,Jarrod Bowen,West Ham,2.0,27.0
2024-10-06,rayanaitnouri_wolves,Rayan Ait-Nouri,Wolves,2.0,28.0
2024-10-06,sonheungmin_tottenham,Son Heung-min,Tottenham,2.0,29.0
2024-10-06,dominiccalvertlewin_everton,Dominic Calvert-Lewin,Everton,2.0,30.0
2024-10-06,dominicsolanke_tottenham,Dominic Solanke,Tottenham,2.0,31.0
2024-10-06,emilesmithrowe_fulham,Emile Smith Rowe,Fulham,2.0,32.0
2024-10-06,jamesjustin_leicestercity,James Justin,Leicester City,2.0,33.0
2024-10-06,jorgenstrandlarsen_wolves,Jorgen Strand Larsen,Wolves,2.0,34.0
2024-10-06,amadouonana_astonvilla,Amadou Onana,Aston Villa,2.0,35.0
2024-10-06,anthonygordon_newcastleutd,Anthony Gordon,Newcastle Utd,2.0,36.0
2024-10-06,gabrielmagalhaes_arsenal,Gabriel Magalhaes,Arsenal,2.0,37.0
2024-10-06,jamievardy_leicestercity,Jamie Vardy,Leicester City,2.0,39.0
2024-10-06,jeanphilippemateta_crystalpalace,Jean-Philippe Mateta,Crystal Palace,2.0,40.0
2024-10-06,joaopedro_brighton,Joao Pedro,Brighton,2.0,41.0
2024-10-06,leandrotrossard_arsenal,Leandro Trossard,Arsenal,2.0,42.0
2024-10-06,lucaspaqueta_westham,Lucas Paqueta,West Ham,2.0,43.0
2024-10-06,stephymavididi_leicestercity,Stephy Mavididi,Leicester City,2.0,44.0
2024-10-06,adamatraore_fulham,Adama Traore,Fulham,1.0,46.0
2024-10-06,kaorumitoma_brighton,Kaoru Mitoma,Brighton,1.0,47.0
2024-10-06,morganrogers_astonvilla,Morgan Rogers,Aston Villa,1.0,49.0
2024-10-06,alejandrogarnacho_manchesterutd,Alejandro Garnacho,Manchester Utd,1.0,50.0
2024-10-06,alexiwobi_fulham,Alex Iwobi,Fulham,1.0,51.0
2024-10-06,alexanderisak_newcastleutd,Alexander Isak,Newcastle Utd,1.0,52.0
2024-10-06,amaddiallo_manchesterutd,Amad Diallo,Manchester Utd,1.0,53.0
2024-10-06,carlosbaleba_brighton,Carlos Baleba,Brighton,1.0,54.0
2024-10-06,dejankulusevski_tottenham,Dejan Kulusevski,Tottenham,1.0,56.0
2024-10-06,kevindebruyne_manchestercity,Kevin De Bruyne,Manchester City,1.0,60.0
2024-10-06,luissinisterra_bournemouth,Luis Sinisterra,Bournemouth,1.0,61.0
2024-10-06,simonadingra_brighton,Simon Adingra,Brighton,1.0,67.0
2024-10-06,yankubaminteh_brighton,Yankuba Minteh,Brighton,1.0,68.0
2024-10-06,andreaspereira_fulham,Andreas Pereira,Fulham,1.0,69.0
2024-10-06,callumhudsonodoi_notthamforest,Callum Hudson-Odoi,Nott'ham Forest,1.0,70.0
2024-10-06,cameronarcher_southampton,Cameron Archer,Southampton,1.0,71.0
2024-10-06,cristianromero_tottenham,Cristian Romero,Tottenham,1.0,74.0
2024-10-06,evanilson_bournemouth,Evanilson,Bournemouth,1.0,79.0
2024-10-06,joaofelix_chelsea,Joao Felix,Chelsea,1.0,85.0
2024-10-06,joelinton_newcastleutd,Joelinton,Newcastle Utd,1.0,86.0
2024-10-06,joshuazirkzee_manchesterutd,Joshua Zirkzee,Manchester Utd,1.0,88.0
2024-10-06,marcusrashford_manchesterutd,Marcus Rashford,Manchester Utd,1.0,91.0
2024-10-06,morgangibbswhite_notthamforest,Morgan Gibbs-White,Nott'ham Forest,1.0,95.0
2024-10-06,pedroporro_tottenham,Pedro Porro,Tottenham,1.0,97.0
2024-10-06,bernardosilva_manchestercity,Bernardo Silva,Manchester City,0.0,108.0
2024-10-06,ashleyyoung_everton,Ashley Young,Everton,0.0,110.0
2024-10-06,anthonyelanga_notthamforest,Anthony Elanga,Nott'ham Forest,0.0,115.0
2024-10-06,brunofernandes_manchesterutd,Bruno Fernandes,Manchester Utd,0.0,116.0
2024-10-06,brunoguimaraes_newcastleutd,Bruno Guimaraes,Newcastle Utd,0.0,117.0
2024-10-06,justinkluivert_bournemouth,Justin Kluivert,Bournemouth,0.0,121.0
2024-10-06,matswieffer_brighton,Mats Wieffer,Brighton,0.0,124.0
2024-10-06,aaronwanbissaka_westham,Aaron Wan-Bissaka,West Ham,0.0,134.0
2024-10-06,adamarmstrong_southampton,Adam Armstrong,Southampton,0.0,135.0
2024-10-06,alexismacallister_liverpool,Alexis Mac Allister,Liverpool,0.0,136.0
2024-10-06,axeldisasi_chelsea,Axel Disasi,Chelsea,0.0,137.0
2024-10-06,beto_everton,Beto,Everton,0.0,138.0
2024-10-06,bilalelkhannouss_leicestercity,Bilal El Khannouss,Leicester City,0.0,139.0
2024-10-06,bobbyreid_leicestercity,Bobby Reid,Leicester City,0.0,140.0
2024-10-06,casemiro_manchesterutd,Casemiro,Manchester Utd,0.0,141.0
2024-10-19,erlinghaaland_manchestercity,Erling Haaland,Manchester City,10.0,1.0
2024-10-19,colepalmer_chelsea,Cole Palmer,Chelsea,6.0,2.0
2024-10-19,bryanmbeumo_brentford,Bryan Mbeumo,Brentford,6.0,3.0
2024-10-19,olliewatkins_astonvilla,Ollie Watkins,Aston Villa,5.0,4.0
2024-10-19,dannywelbeck_brighton,Danny Welbeck,Brighton,5.0,5.0
2024-10-19,luisdiaz_liverpool,Luis Diaz,Liverpool,5.0,6.0
2024-10-19,mohamedsalah_liverpool,Mohamed Salah,Liverpool,4.0,7.0
2024-10-19,nicolasjackson_chelsea,Nicolas Jackson,Chelsea,4.0,8.0
2024-10-19,kaihavertz_arsenal,Kai Havertz,Arsenal,4.0,9.0
2024-10-19,rauljimenez_fulham,Raul Jimenez,Fulham,4.0,10.0
2024-10-19,chriswood_notthamforest,Chris Wood,Nott'ham Forest,4.0,11.0
2024-10-19,jhonduran_astonvilla,Jhon Duran,Aston Villa,4.0,12.0
